계열,모집단위,모집인원,지원인원,경쟁률,최종추합번호,환산 평균,환산 70%,수능 전형,단과 대학
자연계,건설공학전공,9,94,10.44,23,522.99,562.92,가군,해양과학기술융합대학
인문·사회계,경제전공,12,118,9.83,40,529.68,540.2,다군,해양인문사회과학대학
자연계,"공간디자인전공, 건축방재공학전공",10,45,4.5,6,546.74,545.78,다군,해양과학기술융합대학
인문·사회계,국제관계학전공,11,129,11.73,44,529.87,527.3,다군,해양인문사회과학대학
인문·사회계,국제무역전공,7,72,10.29,13,529.03,573.36,다군,해양인문사회과학대학
자연계,기계시스템공학전공,6,19,3.17,6,562.75,544.6,다군,해양과학기술융합대학
자연계,기관시스템공학부,80,152,1.9,남10,526.23,516.78,가군,해사대학
자연계,나노반도체공학전공,16,126,7.88,27,561.18,537.9,다군,해양과학기술융합대학
자연계,냉동공조공학전공,12,36,3,7,589.92,532.7,다군,해양과학기술융합대학
자연계,데이터사이언스전공,8,88,11,19,557.22,564.56,다군,해양과학기술융합대학
인문·사회계,동아시아문화전공,10,99,9.9,10,524.02,521.8,다군,해양인문사회과학대학
자연계,물류시스템공학전공,8,142,17.75,51,550.28,573.16,가군,해양과학기술융합대학
인문·사회계,"법학전공, 해사법전공",10,71,7.1,18,539.83,520,가군,해양인문사회과학대학
자연계,에너지자원공학전공,6,19,3.17,4,555.05,537.94,다군,해양과학기술융합대학
자연계,전기전자공학전공,10,52,5.2,9,573.15,518,다군,해양과학기술융합대학
자연계,전자통신공학전공,7,73,10.43,14,553.36,551.92,다군,해양과학기술융합대학
자연계,전파융합공학전공,12,90,7.5,25,542.38,537.92,다군,해양과학기술융합대학
자연계,조선해양시스템공학전공,17,76,4.47,7,535.09,532.26,가군,해양과학기술융합대학
자연계,지능제어시스템공학전공,20,184,9.2,51,549.71,557.34,다군,해양과학기술융합대학
자연계,항해융합학부,44,79,1.8,남2,555.35,547.6,가군,해사대학
자연계,해사인공지능·보안학부,15,43,2.87,남2,541.95,537.18,가군,해사대학
자연계,해양경찰학부(기관전공),10,25,2.5,-,482.56,467.7,가군,해사대학
자연계,해양경찰학부(항해전공),9,30,3.33,남3,526.7,526,가군,해사대학
자연계,해양공학전공,11,38,3.45,5,533.74,527.4,가군,해양과학기술융합대학
자연계,"해양생물공학전공, 수산바이오공학전공",11,36,3.27,5,567.54,520.74,다군,해양과학기술융합대학
예체능,해양스포츠과학과,7,56,8,12,530.75,540,가군,해양과학기술융합대학
자연계,해양신소재융합공학과,10,42,4.2,3,545.35,522.3,가군,해양과학기술융합대학
인문·사회계,해양영어영문학전공,6,64,10.67,17,519.51,528.1,가군,해양인문사회과학대학
인문·사회계,해양정보·금융전공,8,85,10.63,10,521.22,540.52,다군,해양인문사회과학대학
인문·사회계,해양행정학전공,6,47,7.83,18,524.44,528.8,가군,해양인문사회과학대학
자연계,해양환경학전공,11,32,2.91,12,547,523.02,다군,해양과학기술융합대학
인문·사회계,해운경영전공,11,82,7.45,25,542.21,555.5,다군,해양인문사회과학대학
자연계,환경공학전공,10,92,9.2,29,525.3,548.5,가군,해양과학기술융합대학
자연계,IT융합전공,6,110,18.33,32,573.76,587.12,다군,해양과학기술융합대학